@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
IN,no,2,no,NULL,5,yes
NULL,no,1,no,NULL,2,yes
NULL,no,0,no,NULL,1,no
RB,no,2,no,NULL,3,yes
SC,no,1,no,NULL,2,no
DT,no,0,no,NULL,1,no
NULL,no,1,no,NULL,1,yes
DT,no,1,no,SC,2,yes
VBI,no,1,no,VBT,1,no
DT,no,0,no,VBT,1,yes
